category,region,total_sales,total_profit,num_orders,profit_margin_pct
Furniture,Central,"$163,797","-$2,871",403,-1.75
Furniture,East,"$208,291","$3,046",488,1.46
Furniture,South,"$117,299","$6,771",278,5.77
Furniture,West,"$252,613","$11,505",595,4.55
Office Supplies,Central,"$167,026","$8,880",880,5.32
Office Supplies,East,"$205,516","$41,015",1074,19.96
Office Supplies,South,"$125,651","$19,987",619,15.91
Office Supplies,West,"$220,853","$52,610",1169,23.82
Technology,Central,"$170,416","$33,698",356,19.77
Technology,East,"$264,974","$47,462",443,17.91
Technology,South,"$148,772","$19,992",255,13.44
Technology,West,"$251,992","$44,304",490,17.58
